Rua:  ; Origem: 26121998 ; Destino: 1692226376 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 26122025 ; Destino: 229107774 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 26122025 ; Destino: 1692226361 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 26124437 ; Destino: 229108939 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 26267192 ; Destino: 1109502363 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 26267211 ; Destino: 1109502436 ; Oneway: True ; Highway: motorway_link
Rua: Circular Sul de Braga ; Origem: 26267211 ; Destino: 1109502480 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 26267389 ; Destino: 1106483603 ; Oneway: True ; Highway: motorway_link
Rua: Circular Sul de Braga (2) ; Origem: 26267389 ; Destino: 1106483883 ; Oneway: True ; Highway: motorway
Rua: Circular Sul de Braga (3) ; Origem: 26268327 ; Destino: 26270509 ; Oneway: True ; Highway: motorway
Rua: Avenida Francisco Salgado Zenha ; Origem: 26269015 ; Destino: 512545156 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 26269730 ; Destino: 1865917228 ; Oneway: True ; Highway: motorway
Rua: Circular Norte de Braga ; Origem: 26270222 ; Destino: 26270224 ; Oneway: True ; Highway: trunk
Rua: Circular Norte de Braga (2) ; Origem: 26270224 ; Destino: 215753608 ; Oneway: True ; Highway: trunk
Rua: Circular Norte de Braga (3) ; Origem: 26270465 ; Destino: 26270222 ; Oneway: True ; Highway: trunk
Rua: Circular Sul de Braga (4) ; Origem: 26270505 ; Destino: 1594865316 ; Oneway: True ; Highway: motorway
Rua: Circular Sul de Braga (5) ; Origem: 26270509 ; Destino: 26270505 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 26270509 ; Destino: 1109502436 ; Oneway: True ; Highway: motorway_link
Rua: Circular Sul de Braga (6) ; Origem: 26270740 ; Destino: 26268327 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 26270740 ; Destino: 1788717619 ; Oneway: True ; Highway: motorway_link
Rua: Avenida Miguel Torga ; Origem: 26270764 ; Destino: 1563791987 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 26270764 ; Destino: 213758545 ; Oneway: True ; Highway: trunk_link
Rua: Avenida da Liberdade ; Origem: 208911309 ; Destino: 2439088601 ; Oneway: True ; Highway: secondary
Rua: Avenida Doutor Porfírio da Silva ; Origem: 208928897 ; Destino: 1237237023 ; Oneway: False ; Highway: tertiary
Rua: Largo da Soutinha ; Origem: 208928897 ; Destino: 3967858066 ; Oneway: True ; Highway: tertiary
Rua: Rua dos Barbosas ; Origem: 208928897 ; Destino: 1237236916 ; Oneway: False ; Highway: tertiary
Rua: Rua André Soares ; Origem: 208928901 ; Destino: 5402414489 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Francisco Duarte ; Origem: 208928901 ; Destino: 244035507 ; Oneway: False ; Highway: residential
Rua: Avenida 31 de Janeiro ; Origem: 208928901 ; Destino: 210587666 ; Oneway: True ; Highway: tertiary
Rua: Avenida Imaculada Conceição ; Origem: 208949058 ; Destino: 208954759 ; Oneway: True ; Highway: primary
Rua: Avenida Imaculada Conceição (2) ; Origem: 208949058 ; Destino: 210959966 ; Oneway: True ; Highway: primary
Rua: Avenida Imaculada Conceição (3) ; Origem: 208954749 ; Destino: 208954755 ; Oneway: True ; Highway: primary
Rua: Travessa Sá de Miranda ; Origem: 208954755 ; Destino: 1360770445 ; Oneway: False ; Highway: residential
Rua: Avenida Imaculada Conceição (4) ; Origem: 208954755 ; Destino: 208954759 ; Oneway: True ; Highway: primary
Rua: Avenida Imaculada Conceição (5) ; Origem: 208954759 ; Destino: 245056560 ; Oneway: True ; Highway: primary
Rua: Rua Cidade do Porto ; Origem: 208960680 ; Destino: 208964311 ; Oneway: True ; Highway: primary
Rua: Rua Cidade do Porto (2) ; Origem: 208960680 ; Destino: 1241184537 ; Oneway: True ; Highway: primary
Rua: Rua Cidade do Porto (3) ; Origem: 208964311 ; Destino: 1598969591 ; Oneway: True ; Highway: primary
Rua: Rua Cidade do Porto (4) ; Origem: 208964311 ; Destino: 1696094070 ; Oneway: False ; Highway: primary
Rua: Rua Cidade do Porto (5) ; Origem: 208971339 ; Destino: 2728010362 ; Oneway: False ; Highway: primary
Rua: Rua Cidade do Porto (6) ; Origem: 208971339 ; Destino: 208971344 ; Oneway: False ; Highway: primary
